Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
FALSE,2535,25,30,23,3,1150444,1909392,2016,05-10-2016 15:56,41.90727403,-87.72279189,"(41.907274031, -87.722791892)"
TRUE,1634,16,38,15,08B,1143575,1923186,2016,05-10-2016 15:56,41.94525754,-87.74767892,"(41.945257538, -87.74767892)"
FALSE,324,3,5,43,08B,1186321,1857530,2016,05-10-2016 15:56,41.76418539,-87.5926442,"(41.764185391, -87.592644199)"
FALSE,1611,16,41,10,6,1130189,1940933,2016,05-10-2016 15:56,41.99419755,-87.79647287,"(41.994197554, -87.796472871)"
FALSE,2412,24,50,2,7,1154820,1943117,2016,05-10-2016 15:56,41.99973106,-87.70580971,"(41.99973106, -87.705809711)"
FALSE,333,3,5,43,26,1190777,1858141,2016,05-11-2016 15:50,41.76575557,-87.57629243,"(41.765755571, -87.576292427)"
FALSE,2012,20,40,77,26,1164322,1937557,2016,05-10-2016 15:56,41.98427785,-87.67101243,"(41.984277849, -87.671012432)"
FALSE,1824,18,42,8,6,1176265,1907589,2016,05-11-2016 15:50,41.90178302,-87.62799506,"(41.90178302, -87.627995064)"
FALSE,1032,10,22,30,5,1152831,1884874,2016,05-10-2016 15:56,41.83994702,-87.7146725,"(41.839947022, -87.714672499)"
FALSE,822,8,14,63,08A,1155977,1865327,2016,05-11-2016 15:50,41.78624472,-87.70365352,"(41.786244716, -87.703653521)"
TRUE,214,2,4,36,08B,1183292,1879180,2016,05-10-2016 15:56,41.82366585,-87.60307202,"(41.823665846, -87.603072021)"
FALSE,1121,11,27,23,6,1153911,1904714,2016,05-11-2016 15:50,41.89436874,-87.71018083,"(41.89436874, -87.710180832)"
FALSE,2212,22,19,75,11,1163372,1830887,2016,05-10-2016 15:56,41.69158427,-87.67750189,"(41.691584267, -87.677501885)"
TRUE,1112,11,27,23,08A,1150924,1904654,2016,05-11-2016 15:50,41.8942631,-87.72115283,"(41.894263101, -87.721152828)"
FALSE,321,3,5,42,6,1182702,1861192,2016,05-11-2016 15:50,41.77431903,-87.60579503,"(41.774319025, -87.605795029)"
FALSE,2531,25,29,25,24,1138406,1909030,2016,05-10-2016 15:56,41.90650727,-87.76702211,"(41.906507267, -87.76702211)"
FALSE,412,4,8,45,5,1190325,1849409,2016,05-10-2016 15:56,41.7418051,-87.57823003,"(41.741805104, -87.578230034)"
FALSE,833,8,13,65,26,1148884,1858936,2016,05-10-2016 15:56,41.76884638,-87.7298248,"(41.768846377, -87.729824801)"
FALSE,825,8,16,66,6,1161408,1864461,2016,05-10-2016 15:56,41.78375742,-87.68376461,"(41.783757424, -87.683764609)"
FALSE,1634,16,38,15,6,1141431,1923782,2016,05-10-2016 15:56,41.94693295,-87.75554478,"(41.946932946, -87.75554478)"
FALSE,1633,16,36,17,5,1135651,1920983,2016,05-10-2016 15:56,41.93935715,-87.77685754,"(41.939357146, -87.776857542)"
FALSE,1933,19,44,6,11,1169107,1919625,2016,05-10-2016 15:56,41.93496894,-87.65393685,"(41.934968944, -87.653936849)"
FALSE,1933,19,32,6,6,1166410,1921167,2016,05-10-2016 15:56,41.93925849,-87.66380409,"(41.939258491, -87.663804093)"
FALSE,811,8,23,56,6,1135620,1867749,2016,05-10-2016 15:56,41.79327599,-87.77823659,"(41.793275985, -87.77823659)"
FALSE,111,1,42,32,6,1176585,1901750,2016,05-10-2016 15:56,41.88575329,-87.62699624,"(41.885753285, -87.626996239)"
FALSE,412,4,8,45,14,1190338,1848813,2016,05-10-2016 15:56,41.74016931,-87.57820157,"(41.740169311, -87.578201565)"
FALSE,633,6,6,44,08B,1183121,1846055,2016,05-10-2016 15:56,41.73277179,-87.60472899,"(41.732771785, -87.604728989)"
FALSE,915,9,11,60,6,1171863,1882071,2016,05-10-2016 15:56,41.83185793,-87.64491566,"(41.831857932, -87.64491566)"
FALSE,931,9,20,61,11,1166467,1873388,2016,05-10-2016 15:56,41.8081478,-87.66496197,"(41.808147803, -87.664961971)"
FALSE,424,4,7,46,14,1199184,1847735,2016,05-10-2016 15:56,41.73699363,-87.54582776,"(41.736993626, -87.545827764)"
FALSE,2433,24,40,77,6,1163624,1941880,2016,05-10-2016 15:56,41.99615508,-87.67345707,"(41.996155077, -87.673457065)"
FALSE,2213,22,21,73,14,1168076,1841733,2016,05-11-2016 15:50,41.72124785,-87.65996945,"(41.721247847, -87.659969446)"
FALSE,1712,17,40,13,11,1153730,1936013,2016,05-10-2016 15:56,41.98025918,-87.71000978,"(41.980259177, -87.710009782)"
FALSE,1523,15,28,25,08B,1139441,1901703,2016,05-10-2016 15:56,41.88638227,-87.76339888,"(41.886382272, -87.763398884)"
FALSE,2533,25,37,25,26,1141622,1910145,2016,05-10-2016 15:56,41.90950808,-87.7551807,"(41.909508082, -87.755180702)"
FALSE,1833,18,42,8,6,1176466,1907032,2016,05-10-2016 15:56,41.90025005,-87.62727361,"(41.900250049, -87.627273613)"
FALSE,1024,10,24,30,3,1155039,1889026,2016,05-10-2016 15:56,41.85129667,-87.7064588,"(41.851296671, -87.706458801)"
FALSE,1235,12,25,31,7,1170718,1891113,2016,05-10-2016 15:56,41.85669507,-87.64885236,"(41.856695068, -87.648852364)"
FALSE,1924,19,44,6,6,1170308,1923273,2016,05-10-2016 15:56,41.94495301,-87.64941621,"(41.944953005, -87.649416212)"
FALSE,623,6,6,44,14,1179410,1852394,2016,05-10-2016 15:56,41.75025215,-87.61813096,"(41.750252151, -87.61813096)"
FALSE,1934,19,44,6,6,1171402,1919138,2016,05-10-2016 15:56,41.93358238,-87.64551708,"(41.933582379, -87.645517082)"
FALSE,1424,14,1,24,6,1162452,1909424,2016,05-10-2016 15:56,41.90711883,-87.67868029,"(41.907118834, -87.678680286)"
FALSE,332,3,5,43,6,1188363,1860651,2016,05-10-2016 15:56,41.77270119,-87.58506036,"(41.772701185, -87.585060362)"
FALSE,131,1,2,33,08B,1177485,1892305,2016,05/23/2016 03:48:54 PM,41.85981528,-87.62397793,"(41.859815277, -87.623977927)"
TRUE,223,2,3,38,08B,1180055,1873293,2016,05-10-2016 15:56,41.80758633,-87.61512779,"(41.807586328, -87.615127788)"
FALSE,2223,22,21,73,14,1174222,1840563,2016,05-10-2016 15:56,41.71790308,-87.63749255,"(41.717903082, -87.63749255)"
FALSE,1933,19,44,6,14,1169596,1921441,2016,05-10-2016 15:56,41.93994148,-87.65208674,"(41.93994148, -87.652086737)"
FALSE,1724,17,33,14,6,1154500,1929070,2016,05-10-2016 15:56,41.96119177,-87.70736456,"(41.96119177, -87.707364558)"
TRUE,712,7,16,68,26,1170978,1865954,2016,05-10-2016 15:56,41.78765064,-87.64863395,"(41.787650639, -87.648633945)"
FALSE,1814,18,43,7,11,1173986,1913691,2016,05-10-2016 15:56,41.91857831,-87.63618385,"(41.918578314, -87.636183854)"
FALSE,132,1,2,33,11,1178756,1891402,2016,05-10-2016 15:56,41.85730848,-87.61934007,"(41.857308478, -87.619340066)"
FALSE,1411,14,35,22,7,1156925,1917430,2016,05-10-2016 15:56,41.92920189,-87.69876576,"(41.929201886, -87.698765756)"
FALSE,1523,15,28,25,5,1141195,1902044,2016,05-10-2016 15:56,41.88728587,-87.75694927,"(41.887285871, -87.756949272)"
FALSE,1214,12,27,28,14,1169100,1901749,2016,05-10-2016 15:56,41.88591631,-87.65448252,"(41.885916313, -87.654482517)"
FALSE,1924,19,44,6,6,1169310,1923616,2016,05-10-2016 15:56,41.945916,-87.65307443,"(41.945916003, -87.653074432)"
FALSE,1222,12,28,27,6,1155397,1899849,2016,05-10-2016 15:56,41.88098896,-87.70485404,"(41.880988964, -87.704854042)"
FALSE,1631,16,36,17,11,1121837,1921147,2016,05-10-2016 15:56,41.94004203,-87.82762547,"(41.940042028, -87.827625466)"
FALSE,2433,24,48,77,6,1167747,1940929,2016,05-10-2016 15:56,41.99345733,-87.65831807,"(41.993457327, -87.658318065)"
FALSE,232,2,20,40,6,1178617,1865611,2016,05-10-2016 15:56,41.78653906,-87.62063552,"(41.786539062, -87.620635522)"
TRUE,1831,18,42,8,26,1172883,1904116,2016,05-10-2016 15:56,41.89232854,-87.64052046,"(41.892328543, -87.640520462)"
FALSE,1632,16,38,17,08A,1131814,1925542,2016,05-10-2016 15:56,41.95193503,-87.79085381,"(41.951935032, -87.790853806)"
FALSE,1231,12,2,28,2,1164782,1896486,2016,05-11-2016 15:50,41.87156685,-87.67048835,"(41.871566847, -87.670488348)"
FALSE,332,3,5,43,26,1188588,1859566,2016,05-11-2016 15:50,41.76971848,-87.58427023,"(41.76971848, -87.584270226)"
FALSE,2223,22,21,73,18,1174958,1840580,2016,05-11-2016 15:50,41.71793338,-87.63479637,"(41.717933377, -87.634796373)"
FALSE,132,1,2,33,11,1177540,1890161,2016,05-10-2016 15:56,41.85393075,-87.62384107,"(41.853930752, -87.623841071)"
FALSE,2432,24,40,1,17,1165070,1944128,2016,05-10-2016 15:56,42.00229294,-87.66807366,"(42.002292941, -87.668073655)"
FALSE,411,4,8,45,6,1186568,1853360,2016,05-10-2016 15:56,41.75273668,-87.59187063,"(41.752736679, -87.591870628)"
TRUE,715,7,15,67,26,1165442,1865561,2016,05-10-2016 15:56,41.78669138,-87.6689433,"(41.786691384, -87.668943302)"
FALSE,832,8,18,66,6,1162537,1857540,2016,05-10-2016 15:56,41.76474177,-87.67981809,"(41.764741768, -87.679818093)"
FALSE,1733,17,33,16,11,1153705,1925357,2016,05-10-2016 15:56,41.95101895,-87.71038665,"(41.951018949, -87.710386648)"
TRUE,1225,12,2,28,26,1162659,1898621,2016,05-11-2016 15:50,41.8774702,-87.67822288,"(41.877470199, -87.678222877)"
FALSE,312,3,20,42,3,1180045,1861769,2016,05-10-2016 15:56,41.77596364,-87.61551737,"(41.775963639, -87.615517372)"
FALSE,611,6,21,71,6,1167071,1851447,2016,05-11-2016 15:50,41.74792601,-87.6633736,"(41.74792601, -87.663373604)"
TRUE,1632,16,36,17,26,1129411,1924029,2016,05-10-2016 15:56,41.94782459,-87.79972205,"(41.947824587, -87.799722047)"
FALSE,1122,11,27,23,5,1151310,1902714,2016,05-10-2016 15:56,41.88893198,-87.71978611,"(41.888931976, -87.719786107)"
